"NB.PRIMARYNAME||','||TB.STARTYEAR||','||COUNT(*)"
"Angela Bassett,1998,1"
"Angela Bassett,2000,2"
"Angela Bassett,2001,1"
"Angela Bassett,2002,1"
"Angela Bassett,2003,1"
"Angela Bassett,2004,2"
"Angela Bassett,2006,1"
"Angela Bassett,2007,1"
"Angela Bassett,2008,4"
"Angela Bassett,2009,1"
"Angela Bassett,2010,2"
"Angela Bassett,2011,1"
"Angela Bassett,2013,2"
"Angela Bassett,2014,1"
"Angela Bassett,2015,1"
"Angela Bassett,2016,1"
"Angela Bassett,2019,1"
"Angela Bassett,2022,1"
"Monica Bellucci,1996,2"
"Monica Bellucci,1997,2"
"Monica Bellucci,1998,2"
"Monica Bellucci,1999,3"
"Monica Bellucci,2000,2"
"Monica Bellucci,2002,2"
"Monica Bellucci,2003,2"
"Monica Bellucci,2004,3"
"Monica Bellucci,2005,2"
"Monica Bellucci,2006,2"
"Monica Bellucci,2007,3"
"Monica Bellucci,2008,2"
"Monica Bellucci,2009,1"
"Monica Bellucci,2010,1"
"Monica Bellucci,2011,2"
"Monica Bellucci,2012,1"
"Monica Bellucci,2015,1"
"Monica Bellucci,2016,1"
"Monica Bellucci,2018,1"
"Monica Bellucci,2019,1"
"Monica Bellucci,2021,1"
"Monica Bellucci,2022,2"
